State,District,GramPanchayat,AuditDate,FinancialYear,SchemeName,WorkType,AuditedBy,TotalExpenditure,MisappropriationAmount,RecoveryAmount,IssuesFound,IssueType,AuditStatus,BeneficiariesCovered,ManDaysGenerated,WagesPaid,MaterialCost,ComplaintsReceived,ActionTaken
Tamil Nadu,Chennai,GP_Chennai_34,18-11-2023,2021-22,PMGSY,School Building,SAU Team B,449857.43,109486.7,59286.3,1,Fund Diversion,Closed,63,4420,647742.72,521157.67,22,FIR Filed
Tamil Nadu,Chennai,GP_Chennai_40,27-06-2024,2023-24,NSAP,Pond Desilting,SAU Team B,923746.55,22216.64,20637.67,9,Wage Delay,Pending Recovery,365,2409,98301.41,23757.77,22,Warning Issued
Maharashtra,Mumbai,GP_Mumbai_76,30-05-2024,2021-22,NSAP,Toilet Construction,SAU Team A,286856.3,31249.04,71307.49,5,Incomplete Work,Completed,287,3742,99570.7,246425.59,21,No Action
Andhra Pradesh,Vizag,GP_Vizag_48,14-03-2024,2021-22,SBM-G,Road Construction,District Audit Unit,1709666.11,98793.38,78197.94,9,Fund Diversion,ATR Pending,392,7176,748214.61,520650.51,7,
Maharashtra,Mumbai,GP_Mumbai_50,20-07-2024,2023-24,NSAP,Pond Desilting,SAU Team B,642423.9,137493.94,25496.21,4,Wage Delay,Pending Recovery,289,4085,889828.45,,10,No Action
Andhra Pradesh,Vijayawada,GP_Vijayawada_27,17-07-2023,2023-24,PMGSY,Water Tank,SAU Team A,1406814.51,38163.07,11540.26,9,Ghost Beneficiary,Pending Recovery,223,327,199590.75,,15,FIR Filed
Maharashtra,Mumbai,GP_Mumbai_94,14-09-2023,2022-23,NSAP,School Building,District Audit Unit,1533549.29,129302.8,18606.42,11,Incomplete Work,ATR Pending,276,3112,107144.01,782162.17,2,Suspended Official
Rajasthan,Jaipur,GP_Jaipur_88,27-06-2022,2023-24,PMAY-G,Toilet Construction,SAU Team A,1052925.82,58304.71,6676.17,10,Fund Diversion,Under Review,201,4533,616516.33,236670.7,20,Suspended Official
Karnataka,Mysore,GP_Mysore_97,11-08-2023,2024-25,PMGSY,School Building,District Audit Unit,574959.61,55633.55,62839.31,8,Incomplete Work,Completed,152,7349,890681.85,641141.4,14,No Action
Maharashtra,Pune,GP_Pune_22,07-08-2024,2021-22,PMAY-G,Water Tank,SAU Team B,389513.03,76326.13,55249.22,1,Wage Delay,ATR Pending,135,6963,795322.07,203164.81,15,No Action
